,Data,Database,RDBMS,Entity,Field,Record,Relationship,Primary_Key,Foreign_Key,ERD,Dependent_Table,Associative_Table,Entity_Integrity,Referential_Integrity,1NF,2NF,SQL,One-to-One_Relationship,One-to-Many_Relationship,Many-to-Many_Relationship,Recursive_Relationship,Supertype_Entity,Subtype_Entity,Disjoint_Rule,Overlap_Rule,Ternary_Relationship,ACID
Data,"('Data', 'Data')","('Database', 'Data')","('RDBMS', 'Data')","('Entity', 'Data')","('Field', 'Data')","('Record', 'Data')","('Relationship', 'Data')","('Primary_Key', 'Data')","('Foreign_Key', 'Data')","('ERD', 'Data')","('Dependent_Table', 'Data')","('Associative_Table', 'Data')","('Entity_Integrity', 'Data')","('Referential_Integrity', 'Data')","('1NF', 'Data')","('2NF', 'Data')","('SQL', 'Data')","('One-to-One_Relationship', 'Data')","('One-to-Many_Relationship', 'Data')","('Many-to-Many_Relationship', 'Data')","('Recursive_Relationship', 'Data')","('Supertype_Entity', 'Data')","('Subtype_Entity', 'Data')","('Disjoint_Rule', 'Data')","('Overlap_Rule', 'Data')","('Ternary_Relationship', 'Data')","('ACID', 'Data')"
Database,"('Data', 'Database')","('Database', 'Database')","('RDBMS', 'Database')","('Entity', 'Database')","('Field', 'Database')","('Record', 'Database')","('Relationship', 'Database')","('Primary_Key', 'Database')","('Foreign_Key', 'Database')","('ERD', 'Database')","('Dependent_Table', 'Database')","('Associative_Table', 'Database')","('Entity_Integrity', 'Database')","('Referential_Integrity', 'Database')","('1NF', 'Database')","('2NF', 'Database')","('SQL', 'Database')","('One-to-One_Relationship', 'Database')","('One-to-Many_Relationship', 'Database')","('Many-to-Many_Relationship', 'Database')","('Recursive_Relationship', 'Database')","('Supertype_Entity', 'Database')","('Subtype_Entity', 'Database')","('Disjoint_Rule', 'Database')","('Overlap_Rule', 'Database')","('Ternary_Relationship', 'Database')","('ACID', 'Database')"
RDBMS,"('Data', 'RDBMS')","('Database', 'RDBMS')","('RDBMS', 'RDBMS')","('Entity', 'RDBMS')","('Field', 'RDBMS')","('Record', 'RDBMS')","('Relationship', 'RDBMS')","('Primary_Key', 'RDBMS')","('Foreign_Key', 'RDBMS')","('ERD', 'RDBMS')","('Dependent_Table', 'RDBMS')","('Associative_Table', 'RDBMS')","('Entity_Integrity', 'RDBMS')","('Referential_Integrity', 'RDBMS')","('1NF', 'RDBMS')","('2NF', 'RDBMS')","('SQL', 'RDBMS')","('One-to-One_Relationship', 'RDBMS')","('One-to-Many_Relationship', 'RDBMS')","('Many-to-Many_Relationship', 'RDBMS')","('Recursive_Relationship', 'RDBMS')","('Supertype_Entity', 'RDBMS')","('Subtype_Entity', 'RDBMS')","('Disjoint_Rule', 'RDBMS')","('Overlap_Rule', 'RDBMS')","('Ternary_Relationship', 'RDBMS')","('ACID', 'RDBMS')"
Entity,"('Data', 'Entity')","('Database', 'Entity')","('RDBMS', 'Entity')","('Entity', 'Entity')","('Field', 'Entity')","('Record', 'Entity')","('Relationship', 'Entity')","('Primary_Key', 'Entity')","('Foreign_Key', 'Entity')","('ERD', 'Entity')","('Dependent_Table', 'Entity')","('Associative_Table', 'Entity')","('Entity_Integrity', 'Entity')","('Referential_Integrity', 'Entity')","('1NF', 'Entity')","('2NF', 'Entity')","('SQL', 'Entity')","('One-to-One_Relationship', 'Entity')","('One-to-Many_Relationship', 'Entity')","('Many-to-Many_Relationship', 'Entity')","('Recursive_Relationship', 'Entity')","('Supertype_Entity', 'Entity')","('Subtype_Entity', 'Entity')","('Disjoint_Rule', 'Entity')","('Overlap_Rule', 'Entity')","('Ternary_Relationship', 'Entity')","('ACID', 'Entity')"
Field,"('Data', 'Field')","('Database', 'Field')","('RDBMS', 'Field')","('Entity', 'Field')","('Field', 'Field')","('Record', 'Field')","('Relationship', 'Field')","('Primary_Key', 'Field')","('Foreign_Key', 'Field')","('ERD', 'Field')","('Dependent_Table', 'Field')","('Associative_Table', 'Field')","('Entity_Integrity', 'Field')","('Referential_Integrity', 'Field')","('1NF', 'Field')","('2NF', 'Field')","('SQL', 'Field')","('One-to-One_Relationship', 'Field')","('One-to-Many_Relationship', 'Field')","('Many-to-Many_Relationship', 'Field')","('Recursive_Relationship', 'Field')","('Supertype_Entity', 'Field')","('Subtype_Entity', 'Field')","('Disjoint_Rule', 'Field')","('Overlap_Rule', 'Field')","('Ternary_Relationship', 'Field')","('ACID', 'Field')"
Record,"('Data', 'Record')","('Database', 'Record')","('RDBMS', 'Record')","('Entity', 'Record')","('Field', 'Record')","('Record', 'Record')","('Relationship', 'Record')","('Primary_Key', 'Record')","('Foreign_Key', 'Record')","('ERD', 'Record')","('Dependent_Table', 'Record')","('Associative_Table', 'Record')","('Entity_Integrity', 'Record')","('Referential_Integrity', 'Record')","('1NF', 'Record')","('2NF', 'Record')","('SQL', 'Record')","('One-to-One_Relationship', 'Record')","('One-to-Many_Relationship', 'Record')","('Many-to-Many_Relationship', 'Record')","('Recursive_Relationship', 'Record')","('Supertype_Entity', 'Record')","('Subtype_Entity', 'Record')","('Disjoint_Rule', 'Record')","('Overlap_Rule', 'Record')","('Ternary_Relationship', 'Record')","('ACID', 'Record')"
Relationship,"('Data', 'Relationship')","('Database', 'Relationship')","('RDBMS', 'Relationship')","('Entity', 'Relationship')","('Field', 'Relationship')","('Record', 'Relationship')","('Relationship', 'Relationship')","('Primary_Key', 'Relationship')","('Foreign_Key', 'Relationship')","('ERD', 'Relationship')","('Dependent_Table', 'Relationship')","('Associative_Table', 'Relationship')","('Entity_Integrity', 'Relationship')","('Referential_Integrity', 'Relationship')","('1NF', 'Relationship')","('2NF', 'Relationship')","('SQL', 'Relationship')","('One-to-One_Relationship', 'Relationship')","('One-to-Many_Relationship', 'Relationship')","('Many-to-Many_Relationship', 'Relationship')","('Recursive_Relationship', 'Relationship')","('Supertype_Entity', 'Relationship')","('Subtype_Entity', 'Relationship')","('Disjoint_Rule', 'Relationship')","('Overlap_Rule', 'Relationship')","('Ternary_Relationship', 'Relationship')","('ACID', 'Relationship')"
Primary_Key,"('Data', 'Primary_Key')","('Database', 'Primary_Key')","('RDBMS', 'Primary_Key')","('Entity', 'Primary_Key')","('Field', 'Primary_Key')","('Record', 'Primary_Key')","('Relationship', 'Primary_Key')","('Primary_Key', 'Primary_Key')","('Foreign_Key', 'Primary_Key')","('ERD', 'Primary_Key')","('Dependent_Table', 'Primary_Key')","('Associative_Table', 'Primary_Key')","('Entity_Integrity', 'Primary_Key')","('Referential_Integrity', 'Primary_Key')","('1NF', 'Primary_Key')","('2NF', 'Primary_Key')","('SQL', 'Primary_Key')","('One-to-One_Relationship', 'Primary_Key')","('One-to-Many_Relationship', 'Primary_Key')","('Many-to-Many_Relationship', 'Primary_Key')","('Recursive_Relationship', 'Primary_Key')","('Supertype_Entity', 'Primary_Key')","('Subtype_Entity', 'Primary_Key')","('Disjoint_Rule', 'Primary_Key')","('Overlap_Rule', 'Primary_Key')","('Ternary_Relationship', 'Primary_Key')","('ACID', 'Primary_Key')"
Foreign_Key,"('Data', 'Foreign_Key')","('Database', 'Foreign_Key')","('RDBMS', 'Foreign_Key')","('Entity', 'Foreign_Key')","('Field', 'Foreign_Key')","('Record', 'Foreign_Key')","('Relationship', 'Foreign_Key')","('Primary_Key', 'Foreign_Key')","('Foreign_Key', 'Foreign_Key')","('ERD', 'Foreign_Key')","('Dependent_Table', 'Foreign_Key')","('Associative_Table', 'Foreign_Key')","('Entity_Integrity', 'Foreign_Key')","('Referential_Integrity', 'Foreign_Key')","('1NF', 'Foreign_Key')","('2NF', 'Foreign_Key')","('SQL', 'Foreign_Key')","('One-to-One_Relationship', 'Foreign_Key')","('One-to-Many_Relationship', 'Foreign_Key')","('Many-to-Many_Relationship', 'Foreign_Key')","('Recursive_Relationship', 'Foreign_Key')","('Supertype_Entity', 'Foreign_Key')","('Subtype_Entity', 'Foreign_Key')","('Disjoint_Rule', 'Foreign_Key')","('Overlap_Rule', 'Foreign_Key')","('Ternary_Relationship', 'Foreign_Key')","('ACID', 'Foreign_Key')"
ERD,"('Data', 'ERD')","('Database', 'ERD')","('RDBMS', 'ERD')","('Entity', 'ERD')","('Field', 'ERD')","('Record', 'ERD')","('Relationship', 'ERD')","('Primary_Key', 'ERD')","('Foreign_Key', 'ERD')","('ERD', 'ERD')","('Dependent_Table', 'ERD')","('Associative_Table', 'ERD')","('Entity_Integrity', 'ERD')","('Referential_Integrity', 'ERD')","('1NF', 'ERD')","('2NF', 'ERD')","('SQL', 'ERD')","('One-to-One_Relationship', 'ERD')","('One-to-Many_Relationship', 'ERD')","('Many-to-Many_Relationship', 'ERD')","('Recursive_Relationship', 'ERD')","('Supertype_Entity', 'ERD')","('Subtype_Entity', 'ERD')","('Disjoint_Rule', 'ERD')","('Overlap_Rule', 'ERD')","('Ternary_Relationship', 'ERD')","('ACID', 'ERD')"
